Simulation parameter (increases).,Kn c 1 c.~ x y ¼ 0 : 5 ¼.( /C0 ),Kn c 1 c.d s N d ~ x /C12 /C12 /C12 /C12 /C12 /C12 /C12 /C12 /C12 /C12 ~ x ¼.(nm),Kn c 1 c.0 : 5 d y d ~ x /C12 /C12 /C12 /C12 /C12 /C12 /C12 /C12 ~ x ¼ 0 : 5.( /C0 ),Kn B 1 d.~ x y ¼ 0 : 5 ¼.( /C0 ),Kn B 1 d.d s N d ~ x /C12 /C12 /C12 /C12 /C12 /C12 /C12 /C12 /C12 /C12 ~ x ¼.(nm),Kn B 1 d.5 d y d ~ x /C12 /C12 /C12 /C12 /C12 /C12 /C12 /C12 ~ x ¼ 0 : 5.( /C0 ),Kn { 1 e.~ x y ¼ 0 : 5 ¼.( /C0 ),Kn { 1 e.d s N d ~ x /C12 /C12 /C12 /C12 /C12 /C12 /C12 /C12 /C12 /C12 ~ x ¼.(nm),Kn { 1 e.0 : 5 d y d ~ x /C12 /C12 /C12 /C12 /C12 /C12 /C12 /C12 ~ x ¼ 0 : 5.( /C0 )
Channel height ( H ),-,-,-,r,s,s,rr,ss,ss
Initial partial pressure of the ALD reactant A ( p A0 ) f,ss,-,-,ss,- g,- g,ss,r g,r g
Reactant pulse time ( t 1 ),sss,-,-,sss,-,-,sss,-,-
Sticking coefficient ( c ),s h,sss,sss,s h,sss,sss,s h,sss,sss
Desorption probability ( P d ),-,-,-,-,-,-,-,-,- i
Adsorption capacity ( q ),rrr,ss,-,rrr,ss,-,rrr,ss,-
Temperature ( T ),r,-,-,r,-,-,s,r,r
Total pressure ( p ) j,-,-,-,r,s,s,rr,ss,ss
Molar mass of the ALD reactant ( M A ),r,-,-,r,s,s,r,s,s
Molar mass of the carrier gas ( M I ),-,-,-,s,r,r,s,rr,rr
Size of the reactant molecule ( d A ),-,-,-,r k,s,s,r,s,s
Size of the inert carrier gas molecule ( d I ),-,-,-,r,s,s,r,s,s
Density of the grown material ( r ),-,r,-,-,r,-,-,r,-
