0,1,2,3,4,5
R 2,,,,,
Linear fitting residual 0.983 0.991,0.997 0.993 0.998 0.998,0.995 0.993 0.995 0.982 0.993 0.996,0.971 0.996 0.996,0.983 0.971,0.999
Slope d y d ~ x ( /C0 ) /C0 0.013 /C0 0.011 /C0 0.018,/C0 0.019 /C0 0.015 /C0 0.0083,/C0 0.0050 /C0 0.019 /C0 0.047,/C0 0.021 /C0 0.019 /C0 0.010,/C0 0.021 /C0 0.014 /C0 0.0044,/C0 0.016 /C0 0.021 /C0 0.018
Slope d d ð S = N Þ d ~ x (nm) /C0 0.0013 /C0 0.0013 /C0 0.0018,/C0 0.0018 /C0 0.0015 /C0 0.00087,/C0 0.00048 /C0 0.0020 /C0 0.0046,/C0 0.0022 /C0 0.0020 /C0 0.00099,/C0 0.0021 /C0 0.0014 /C0 0.00045,/C0 0.0017 /C0 0.0021 /C0 0.0017
x ˜ 50% ( /C0 ) 280 280 220,208 208 214,100 214 188,230 214 190,192 266 386,198 192 218
x 50% (PD ( m m) 140 140 110,105 103 109,10 106 375,115 106 95,96 133 197,99 96 109
S IIb / N (GPC IIb (nm) 0.107 0.109 0.107,0.0956 0.100 0.106,0.0955 0.102 0.0976,0.104 0.102 0.0993,0.100 0.100 0.102,0.104 0.100 0.0978
S I / N (GPC I ) (nm) 0.100 0.0993 0.101,0.0949 0.0983 0.103,- 0.0934 0.0906,0.0970 0.0934 0.0947,0.0951 0.0962 0.0972,0.101 0.0951 0.0897
Initial thickness S IIb c (nm) 53.3 54.5 53.4,47.8 50.0 52.9,47.8 51.1 48.8,26.0 51.1 99.3,50.2 49.8 51.0,51.9 50.2 48.9
Thickness outside S I (nm) 49.8 49.6 50.5,47.4 49.1 51.4,- e 46.7 45.3,24.3 46.7 94.7,47.5 48.2 48.6,50.4 47.5 44.8
Reflectometer magnification /C2 50 /C2 50 /C2 50,/C2 50 /C2 10 /C2 5,/C2 50 /C2 50 /C2 50,/C2 50 /C2 50 /C2 50,/C2 50 /C2 50 /C2 50,/C2 50 /C2 50 /C2 50
ALD cycles 500 500 500,500 500 500,500 500 500,250 500 1000,500 500 500,500 500 500
Pillar layout v1a v1b v2a,v1b v1b v1b,v1b v1b v1b,v1b v1b v1b,v1b v1b v2a,v1b v1b v1b
Design height 500 500,500 500 500 500,100 500 2000,500 500 500,500 500 500,500 500 500
(s),0.1-4.0-0.1-4.0 0.1-4.0-0.1-4.0 0.1-4.0-0.1-4.0,,,,1.0 4.0 10.0
,0.1-4.0-0.1-4.0 0.1-4.0-0.1-4.0 0.1-4.0-0.1-4.0,0.1-4.0-0.1-4.0 0.1-4.0-0.1-4.0 0.1-4.0-0.1-4.0,,-4.0-0.1-4.0 -4.0-0.1-4.0 -4.0-0.1-4.0,-0.1- -0.1- -0.1-
Pulse-purge sequence,,,0.1-4.0-0.1-4.0 0.1-4.0-0.1-4.0 0.1-4.0-0.1-4.0,,1.0 4.0 10.0
,,,,0.1 0.2 0.4,0.1- 0.1- 0.1-
Sample code b,1 2 3 4 5 6,7 8 9,10 8 11,12 13 14,15 12 16
Series a A,B,C D,E,,F
